raw_character_text,spoken_words
Homer Simpson,"A hundred bucks?! For a comic book? Who drew it, Micha-ma-langelo?"
Bart Simpson,"Oh please, Dad. I want this more than anything in the world."
Homer Simpson,"Well, t.s."
Bart Simpson,Please Dad.
Homer Simpson,No.
Bart Simpson,Please Dad.
Homer Simpson,No.
Bart Simpson,Please Dad.
Homer Simpson,No.
Bart Simpson,Please Dad.
Homer Simpson,No.
Bart Simpson,Please Dad.
Homer Simpson,No.
Bart Simpson,Please Dad.
Homer Simpson,No.
Bart Simpson,Please Dad.
Homer Simpson,No.
Bart Simpson,Please Dad.
Homer Simpson,"No! Now, look, son, we all know that usually when you bug me like this, I give in, so I'm not mad at you for trying. It shows you've been paying attention. But we all know I'm not gonna give you a hundred dollars. Now are you gonna stop bugging me?"
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,No.
Homer Simpson,Are you?
Bart Simpson,Okay.
Homer Simpson,"Hee hee, I win! In your face! Yeah! How do you like them apples? Woo hoo hoo!"
Marge Simpson,"Don't gloat, Homer. You know, Bart, when I was your age, the one thing I wanted more than anything in the world was a Child-sized Electric Lightbulb Oven. My parents wouldn't give me the money, so I went to my sisters, Patty and Selma..."
Young Patty,We'll give you half our allowance.
Young Selma,Uh-huh. But you have to be our slave.
Young Patty,This gives us a lot more free time.
Young Selma,Uh-huh. Let's take up smoking.
Marge Simpson,"For months, I worked and worked, while my sisters smoked and smoked..."
Older Patty,"Venus... Oh, Venus..."
Older Selma,We want those dress-shields hand-washed and drip-dried.
Nelson Muntz,Haw haw!
Mrs. Glick,Here we are.
Marge Simpson,"But the big day finally came. And because I'd worked for it, all those lightbulb-warmed treats always tasted extra-good."
Marge Simpson,So maybe a part-time job is the answer.
Bart Simpson,"Aw, Mom, I couldn't ask you to do that. You're already taking care of Maggie, and Lisa is such a handful --"
Lisa Simpson,"She means you should get a job, stupid."
Bart Simpson,Me?
Adult Narrator,"Get a job! Were they serious? I didn't realize it at the time, but a little piece of my childhood had slipped away... forever."
Homer Simpson,Bart! What are you staring at?
Bart Simpson,Uh... nothing.
Adult Narrator,"He didn't say it, and neither did I, but at that moment my dad and I were closer than we ever..."
Homer Simpson,Bart! Stop it!
Bart Simpson,Sorry.
Bart Simpson,I NEED SOME MONEY / A LOT OF MONEY... AHH
Bart Simpson,Empty bottles... empty bottles...
Bart Simpson,"Hm... well, it's practically empty."
Bart Simpson,"Here you go, Apu."
Apu Nahasapeemapetilon,"Ooh, very good. Would you like the deposit defrayed from the cost of a Jumbo Cherry Squishie?"
Bart Simpson,"No, not today. I need the dime."
Apu Nahasapeemapetilon,"Oh, it is good to see you are learning a trade."
Bart Simpson,Ah-ha!
Bart Simpson,"Americanize this, my good man."
Teller,Okey dokey.
Bart Simpson,All those coins were only worth three lousy cents?
Teller,Let the good times roll.
Bart Simpson,"Oh, this is so humiliating... I feel like such a geek."
Lisa Simpson,"How's it going, Bart?"
Bart Simpson,"Terrible. Cars slow down to laugh at me, but no one's buying."
Lisa Simpson,Maybe you need to play on their sympathies more. Lets see...
Lisa Simpson,"Ah ha, now you look pathetic."
Bart Simpson,Lemonade sucks. I need a new product. Let's see... ... Ah!
Bart Simpson,"Form a line, no crowding. Cheap beer and a sympathetic ear... Step right up."
Barney Gumble,"Ah, Bart could you give me one on credit? I'm a little short this week."
Bart Simpson,Beat it.
Eddie,"Say, uh, you got a liquor license there, young fella?"
Bart Simpson,"Ugh, my dog ate it."
Lou,Gotta have a license to sell beer.
Bart Simpson,Say... writing all those tickets must make you guys thirsty. How about a couple on the house?
Eddie,"We-ell, seeing as how it's a first offense..."
Lou,I guess we can overlook this.
Bart Simpson,"So long, officers. Uh-oh."
Homer Simpson,"Hey, what's all the --"
Homer Simpson,My beer... my beer... my beautiful beer.
Marge Simpson,The poor boy is so desperate. He wants to earn money to buy a comic book.
Mrs. Glick,"A comic book! Oh, my, boys never change. Which one is it, ""Nazi Smasher""?"
Marge Simpson,I don't think so.
Mrs. Glick,"Send him over to my house, I got a few chores he could do. He knows how to mix whitewash, don't he?"
Bart Simpson,Mrs. Glick?
Mrs. Glick,"Eh, you must be Burt Simpson! Well, you look like you've got a strong young back!"
Mrs. Glick,"Would you like something to eat? I've got dried apricots... almond paste, sauerkraut candy."
Bart Simpson,"No, thanks. Who's that?"
Mrs. Glick,"Oh, that's my brother, Asa. He was killed in the Great War. Held a grenade too long."
Asa,"This one's for you Kaiser Bill. Special delivery from Uncle Sam and all the boys in D Company: Yeah! Johnny, Harrison, Brooklyn Bob and Reggie. Yeah, even Reggie. He ain't so stuck-up once you get to know..."
Mrs. Glick,"Here, have some ribbon candy. Boys love candy."
Bart Simpson,"No, thanks."
Mrs. Glick,Boys love candy.
Bart Simpson,"Oh, yes, ma'am!"
Bart Simpson,"Ugh, I think I'd rather just get to work, Ma'am."
Mrs. Glick,"We'll start with a little light yard work. And when you're done, you can have a nice barley pop."
Mrs. Glick,I want you to clear out all the weeds. You do know which ones are weeds?
Bart Simpson,All of 'em?
Mrs. Glick,Good boy.
Mrs. Glick,Now be careful with these. I'll be inside watching my stories.
Bart Simpson,Ow!. . .Ow!
Soap Actress,"Jack, please. I'm married."
Soap Actor,That must be what's turning me on.
Soap Actress,Oh... Stop it... some more.
Mrs. Glick,"Filthy, but genuinely arousing."
Bart Simpson,Finished.
Mrs. Glick,"Merciful heavens, you're bleeding! I'll get the iodine."
Mrs. Glick,"Now, don't fidget."
Bart Simpson,"Listen, lady, you don't have to -- YAAAUUUUGGGHHH!"
Mrs. Glick,They've never improved on iodine.
Bart Simpson,"Hi, Mom."
Marge Simpson,Did you make any money?
Bart Simpson,"Not yet, but at least I'm in a lot of pain."
Marge Simpson,"Well, I think what you're doing for Mrs. Glick is very nice. The poor old thing doesn't have anybody."
Bart Simpson,There's a reason.
Mrs. Glick,"The sludge certainly collects around those downspouts, don't it?"
Bart Simpson,"I'll sludge you, you old bat."
Mrs. Glick,"Today, we wash Beulah. Do you know what that is?"
Bart Simpson,"Some old lady thing, nobody's heard about for fifty years?"
Mrs. Glick,"No, it was my wedding dress, but then I dyed it black and it became my mourning dress."
Bart Simpson,"Great story, lady."
Bart Simpson,Last night I dreamed I held you in my arms.
Bart Simpson,"No! No, not the iodine! Burn the germs off with a torch, amputate my arm, but not the -- YAAAUUUGGGHHH!"
Mrs. Glick,"Well, it's payday. I'll wager you've been looking forward to this."
Mrs. Glick,Two quarters.
Bart Simpson,Two quarters?
Mrs. Glick,"You deserve every penny. You know, I've told a lot of my girlfriends about you and they have chores too."
Bart Simpson,Two quarters!
Mrs. Glick,"Bart, you didn't say thank you."
Bart Simpson,"Listen lady, I can leave without screaming, and I can leave without saying a bad word, but there's no way that I am saying thank you."
Mrs. Glick,"You're welcome. All right then, off you go, to spend it on penny whistles and moon pies."
Bart Simpson,"Moon pies, my butt... Somebody oughta moon pie her..."
Homer Simpson,"What's the problem, boy?"
Bart Simpson,"I've been bustin' my hump all week for that withered old clam, and all I got was fifty cents."
Homer Simpson,"Hey, when I was your age, fifty cents was a lot of money."
Bart Simpson,Really?
Homer Simpson,Nah.
Bart Simpson,"Dad, I've done everything I could and I've only got thirty-five bucks. Ugh.. I am through with working. Working is for chumps."
Homer Simpson,"Son, I'm proud of you. I was twice your age before I figured that out."
Martin Prince,Can you let me have it for forty dollars?
Dealer,Forty bucks? Forget it! You made me get off my stool for that?
Martin Prince,"It's all I've got. I sold seeds. I visited my aunt in the nursing home. I fished a dime out of the sewer, for God's sake!"
Dealer,No way. What do you want?
Bart Simpson,Can I have it for thirty-five?
Dealer,"No!... No!... Freakin' kids. I do not need this, I've got a Masters degree in folklore and mythology."
Milhouse Van Houten,"Excuse me, do you have the Carl Yastrzemski baseball card from 1973, when he had big sideburns?"
Dealer,"Show me the thirty bucks, because if you ain't got it, I ain't gettin' off the stool."
Bart Simpson,"Wait a minute, Martin. If you, Milhouse and I went in together, we could buy a copy of ""Radioactive Man No. 1"" right now!"
Martin Prince,Wow!
Dealer,"Here you go. ""Muttonchop Yaz."""
Milhouse Van Houten,I don't want it.
Dealer,Freakin' kids!
Bart Simpson,"Look, pal. We've got a hundred bucks and we'd like to buy ""Radioactive Man No. 1"". So why don't you just waddle over there and get it."
Dealer,Yes sir.
Bart Simpson,"Wow! Breathe it in, boys!"
Martin Prince,This is the stuff dreams are made of.
Milhouse Van Houten,It smells like my grandpa.
Bart Simpson,"Uh-oh, looks like rain. We better get this baby home."
Bart Simpson,Uh-oh.
Dealer,Looks like you bought more than you bargained for.
Radioactive Man,My pants... caught on barbed wire... Good Lord Choke... an A-bomb!
Radioactive Man,Yaarrgh!
Radioactive Man,"I'm becoming radioactive. From this day forward, I shall call myself Radioactive Man."
Milhouse Van Houten,So that's how it happened!
Martin Prince,I would've thought being hit by an atomic bomb would have killed him.
Bart Simpson,Now you know better.
Milhouse Van Houten,"Turn the page, Bart."
Bart Simpson,"Listen, you guys are welcome to come over and read it any time you like."
Milhouse Van Houten,Why can't we keep it at my house?
Bart Simpson,Your house? That's crazy talk!
Milhouse Van Houten,"Well, the comic's ours as much as it is yours."
Martin Prince,"How about this, guys. Bart can have it Mondays and Thursdays. Milhouse will get it Tuesdays and Fridays. And yours truly will take it Wednesdays and Saturdays."
Bart Simpson,Perfect.
Milhouse Van Houten,Wait a minute. What about Sunday?
Bart Simpson,Yeah. What about Sunday?
Martin Prince,"Well, Sunday possession will be determined by a random number generator. I will take the digits one through three. Milhouse will have four through six. And Bart will have seven through nine."
Bart Simpson,Perfect.
Milhouse Van Houten,Wait a minute. What about zero?
Bart Simpson,Yeah! What about zero?
Milhouse Van Houten,Yeah.
Martin Prince,"Well, in the unlikely event of a zero, possession will be determined by ""Rock, Scissor, Paper"" competition. Best three out of five, how's that?"
Martin Prince,"Excellent! Well, today being Saturday, Gentlemen, I guess I'll be taking my comic and..."
Bart Simpson,"Uh, uh, uh, ah nice try, Martin. It almost worked. But tonight, this comic book stays right here."
Martin Prince,"If the comic book stays right here, then so do I."
Milhouse Van Houten,Me too!
Bart Simpson,"Fine. We're all going to stay here with the comic book. It'll be like a sleep-over. Yeah, a sleep-over. That's what pals do, right? Real friendly-like."
Milhouse Van Houten,I want to read it again.
Bart Simpson,"Nice try, mister."
Martin Prince,"Milhouse, the acids in your hands could damage the newsprint. We want to keep this comic forever, so the last one alive will have the honor of being buried with it."
Bart Simpson,"What do you mean, the last one alive?"
Martin Prince,I meant years from now.
Bart Simpson,"Yeah, sure you did."
Milhouse Van Houten,"Bart, don't push him!"
Bart Simpson,"I knew it. You're both against me! Well, nobody makes a sap out of Bartholemew J. Simpson."
Marge Simpson,I thought you boys might like some milk and microwave s'mores.
Milhouse Van Houten,"Thank you, Mrs. Simpson."
Bart Simpson,"Sweet dreams, boys."
Bart Simpson,One more step and you're a dead man.
Martin Prince,"I have to go to the bathroom, Bart."
Bart Simpson,"Yeah, right, so do I, but you don't see me gettin' up."
Milhouse Van Houten,"Hey, what's going on?"
Bart Simpson,Our dear friend Martin was trying to steal the comic book.
Milhouse Van Houten,Let's tie him up!
Martin Prince,"Bart, is this how you treat all your guests?"
Bart Simpson,"Hmp, impressive."
Bart Simpson,"Quiet, Piggy, or we'll stick an apple in your mouth. We can't take any chances. We'll have to take turns watching him."
Milhouse Van Houten,Okay. I'll go first.
Bart Simpson,"Oh, so that's your little game. Let old Bart get nice and drowsy, then, when his back is turned... wham!"
Bart Simpson,"Well, it is not going to happen, see?"
Milhouse Van Houten,"You're going crazy, Bart. I'm telling your mom!"
Bart Simpson,"Hey Martin, tell him what we do with squealers."
Martin Prince,I don't know. Is it worse than what you do with people that have to go to the bathroom?
Milhouse Van Houten,You can't stop me.
Bart Simpson,The hell I can't!
Marge Simpson,"Homer, it's really coming down. Could you check on the boys?"
Homer Simpson,They're fine.
Martin Prince,"Bart, the comic!"
Milhouse Van Houten,Don't let go of me Bart!
Bart Simpson,"Milhouse, it's not that far to the ground. And the rain has probably softened it up a bit."
Milhouse Van Houten,"No, Bart! No!"
Martin Prince,"You know, if you guys hadn't tied me up, I could be saving the comic as we speak."
Bart Simpson,Shut up! Shut up!
Milhouse Van Houten,"Help me, Bart! I didn't even want the comic. I wanted Carl Yastrzemski with the big side-burns."
Marge Simpson,"Boys, you better come in the house. You don't want to get the sniffles."
Bart Simpson,"Aw, Mom."
Marge Simpson,Now come on... You can play your little tie-up game inside. I've got some cocoa on the stove. Who wants imitation marshmallows?
Martin Prince,"I'd raise my hand, Mrs. Simpson, if I could."
Homer Simpson,
Martin Prince,"It's no use, fellows. Another comic book has returned to the earth from whence it came."
Bart Simpson,We worked so hard and now it's all gone... We ended up with nothing because the three of us can't share.
Milhouse Van Houten,What's your point?
Bart Simpson,Nothing. It just kind of ticks me off.
Radioactive Man,"Well, the world is safe again... but for how long?"
Mayor Joe Quimby,"Ah, Chief Wiggum, Archbishop McGee, distinguished guests. I am pleased to dedicate this emergency warning system. In the uh, off chance of a nuclear disaster, this sign will tell you, the good citizens of Springfield, what to do."
Homer Simpson,"Joke's on them. If the core explodes, there won't be any power to light that sign."
Mayor Joe Quimby,"And now, I would like to present the man who made this sign possible, by dropping the last of his obstructionist legal challenges... Montgomery Burns."
Waylon Smithers,Mr. Burns is never late. Something must be terribly wrong.
Mayor Joe Quimby,"Well, there better be. Nobody leaves Diamond Joe Quimby holding the bag!"
C. Montgomery Burns,Must... turn... over. Got to... greet... dignitaries!
Waylon Smithers,"Oh, no, Mr. Burns! We've got to get a doctor!"
C. Montgomery Burns,"Absolutely not! No quack sawbones is going to apply his leeches to me! As long as there's an ounce of strength left in me, I..."
Dr. Julius Hibbert,Mmmm. Mr. Burns is suffering from what we medical men call hypohemia. In layman's terms it's quite simply a lack of blood.
Waylon Smithers,"Damn it, doctor, I'm no idiot! I know what hypohemia is. What I want to know is what can we do about it?"
Dr. Julius Hibbert,"Well, at this point, our only hope is a transfusion."
Waylon Smithers,How long does it take to sterilize a needle?
Dr. Julius Hibbert,A few seconds.
Waylon Smithers,"Well, skip it."
Waylon Smithers,Just leave me enough to get home.
Dr. Julius Hibbert,I'm afraid it's not that simple. His blood type is Double-O-Negative. It's quite rare.
Waylon Smithers,But I'm B positive. Damn this common gutter blood in my veins!
C. Montgomery Burns,"Smithers, don't feel so bad. After all, that kidney you donated to me really hit the spot."
Waylon Smithers,Go ahead.
Chimp,
Waylon Smithers,"Attention all employees. Our boss and inspiration, Mr. Burns... is at death ... death's door. If you have type Double-O-Negative blood, I implore you to report to the Bloodmobile outside. That is all."
Carl Carlson,"I'd give him my blood, except for one thing."
Lenny Leonard,What's that?
Carl Carlson,I don't wanna.
Homer Simpson,"I can't believe you guys. There's a human being out there with millions of dollars who needs our help. And you don't wanna cash in? That's why you losers are stuck in this crummy, dead end job."
Carl Carlson,"You know, Homer, I am your supervisor."
Homer Simpson,"Sorry, sir."
Lisa Simpson,"Maggie, look. What's that?"
Lisa Simpson,Zee-boo. Zee-boo.
Marge Simpson,"What are you doing, honey?"
Lisa Simpson,I'm trying to teach Maggie that nature doesn't end with the barnyard. I want her to have all the advantages that I didn't have.
Marge Simpson,"Lisa, we did the best we could... What's a zebu?"
Lisa Simpson,"It's like an ox, only it has a hump and a dewlap. Hump and dew-lap. Hump and dew-lap."
Homer Simpson,Marge! Marge! What's my blood type?
Marge Simpson,A-Positive.
Homer Simpson,"Aw, nuts! Extremely rare blood and I don't have it."
Lisa Simpson,"You know his blood type, how romantic."
Marge Simpson,A mother knows everything about her family.
Lisa Simpson,"Oh, yeah? What's my shoe size?"
Marge Simpson,Four B.
Bart Simpson,How many teeth do I have?
Marge Simpson,"Sixteen permanent, eight baby."
Homer Simpson,Earmuffs.
Marge Simpson,XL.
Lisa Simpson,Ring.
Marge Simpson,"I don't want you wearing rings, it looks cheap, but three."
Bart Simpson,Allergies.
Marge Simpson,Butterscotch and imitation butterscotch.
Bart Simpson,And?
Marge Simpson,Glow in the dark monster make-up.
Marge Simpson,"Oh, Homie, you have lots of hair... Why did you want to know your blood type?"
Homer Simpson,"Aw, old man Burns is gonna kick off if he doesn't get some Double-O-Negative blood, but nobody at the plant has it."
Marge Simpson,Bart does.
Homer Simpson,"Woo! Yes! All right! Woo! Congratulations, boy! You've got a date with a needle!"
Bart Simpson,"Hey, wait a minute. I don't have to give blood. I have rights, you know."
Homer Simpson,"Yeah, you have the right to remain silent."
Marge Simpson,"Bart, you have to help someone in need. It's the only decent thing to do."
Bart Simpson,
Homer Simpson,"Bart, it's not like I'm asking you to give blood for free. That would be crazy! You're a little young to understand this, but when you save a rich man's life, he showers you with riches. Don't you know the story of Hercules and the Lion?"
Bart Simpson,Is it a Bible story?
Homer Simpson,"Yeah, probably. Anyway, once upon a time there was a big mean lion who got a thorn in his paw. And all the village people tried to pull it out, but nobody was strong enough. So they got Hercules, and Hercules used his mighty strength, and bingo. Anyway, the moral is, the lion was so happy, he gave Hercules this big thing of riches."
Bart Simpson,How did a lion get rich?
Homer Simpson,It was the olden days!
Bart Simpson,Oh.
Homer Simpson,"Hey, let's go! Emergency! Life-or-death here!"
Otto Mann,"Just a sec, man!"
Bart Simpson,"Whoa, Otto-man! You work here?"
Otto Mann,"Oh yeah! During the day, all my friends are in school, so I got a job as a Certified Bloodletting Tech Dude."
Homer Simpson,Now let's get the show on the road.
Otto Mann,Okay. Let me wash up.
Waylon Smithers,"Homer, brave young Bart. I don't know which one to hug first."
Homer Simpson,Eh.... the boy.
Dr. Julius Hibbert,We're ready with the transfusion.
C. Montgomery Burns,"Smithers, I'm not going to make it. I want to dictate... my epitaph."
C. Montgomery Burns,Charles... Montgomery... Burns.
Waylon Smithers,"Um, hmm."
C. Montgomery Burns,American Patriot
C. Montgomery Burns,... American Patriot.
C. Montgomery Burns,Master Of The Atom.
C. Montgomery Burns,Scourge Of The Despot.
C. Montgomery Burns,"""O Tyrant Hear His Mighty Name And QUAKE!!"" Smithers, I'm back!"
C. Montgomery Burns,"Oh, top o' the mornin' to ye! Why, look who's here! It's good old... you!"
Smitty,"Hi, Mr. Burns."
C. Montgomery Burns,"Oh, hey, there, Mr... Brown Shoes! How about that local sports team? Hm?"
Homer Simpson,Mr. Burns... he's okay! Jackpot!
Osvaldo,"Aye, caramba!"
C. Montgomery Burns,"Heh-heh-heh! Well, that's game! Hasta manana, Osvaldo!"
C. Montgomery Burns,"Smithers, I'm back in the pink! Full of pith and vinegar!"
Waylon Smithers,"Just remarkable, sir."
C. Montgomery Burns,"You know, it's funny, Smithers. I tried every tincture and poultice and tonic and patent medicine there is. And all I really needed was the blood of a young boy. By the way, what was the lad's name?"
Waylon Smithers,"Uh, Bart Simpson, sir."
C. Montgomery Burns,Who?
Waylon Smithers,He's the son of Homer Simpson. One of your stiffs in Sector 7-G.
C. Montgomery Burns,"Well, the Simpsons will be getting a very nice surprise in the mail. Very nice, indeed."
Homer Simpson,"Bill... Bill... Summons... Bill... Wait a minute. From C.M. Burns? Is this it? Yes, this is it! Woo-hoo! Woo!"
Homer Simpson,Marge! Lisa! Maggie! Let's do this out in the yard where the neighbors can see!
Homer Simpson,"Lisa, dim the lights! No, turn on more lights! But do something!"
Lisa Simpson,"Yes, Dad."
Homer Simpson,"It's a little thin, but that's okay, could be a check."
Marge Simpson,The meaning of what?
Homer Simpson,"""Better half,"" Marge. ""Better half."""
Homer Simpson,"All right, there's no check, just a card. But don't panic. I'm sure it tells us what we're getting and where we can pick it up. ""Dear Bart... Thank you kindly for the blood. Yours truly, Montgomery Burns."" It's just a card!"
Homer Simpson,"This is some way to show your gratitude. No gold. No diamonds. No rubies. Not even a lousy card. Wait a minute, there was a card. That's what got me so mad in the first place."
Marge Simpson,"Homer, you don't do things like that to be rewarded. You do them because a fellow human being needs a helping hand."
Homer Simpson,"Marge, you're my wife and I love you very much. But you're living in a world of make-believe. With flowers and bells and leprechauns, and magic frogs with funny little hats..."
Bart Simpson,"Yeah, Mom. We got hosed!"
Homer Simpson,Bart!
Marge Simpson,We got exactly what we wanted out of this: We gave an old man a second chance.
Homer Simpson,"I promised my boy one simple thing: Lots of riches. And that man broke my promise. Well, I've had it! Bart, take a letter."
Homer Simpson,"""Dear Mr. Burns. I'm so glaaad you enjoyed my son's blood. And your caard was just great. In case you can't tell, I'm being sarcastic. You stink!"" Could you read that last part back to me?"
Bart Simpson,You stink.
Homer Simpson,"Good. ""You are a senile, buck-toothed old mummy with bony girl arms... and you smell like..."""
Bart Simpson,An elephant's butt?
Homer Simpson,An elephant's butt.
Marge Simpson,But he's your boss. Do you have to mail it right this minute?
Homer Simpson,Yup!
Marge Simpson,"You're still angry, Homer. Why don't you sleep on it?"
Homer Simpson,"Forget it, Marge!"
Marge Simpson,"Please, Homie? For me?"
Homer Simpson,"Oh, all right. You always do that hand thing! And it usually works."
Homer Simpson,Cheap son-of-a...
Marge Simpson,Homer... Breakfast is ready.
Homer Simpson,Hmmm...
Homer Simpson,"Oh, Marge, you saved me from making a big mistake. Y'know, I finally understand the meaning of mmphm hnmph."
Marge Simpson,Oh... thank you.
Homer Simpson,Where's the letter?
Homer Simpson,Where is it?
Marge Simpson,"Homer, I don't think it's in the cornstarch canister."
Homer Simpson,"Well, it's somewhere! It didn't just get up and walk away!"
Homer Simpson,"Bart, have you seen the letter?"
Bart Simpson,Yup.
Homer Simpson,"All right, think very carefully. Where did you see it last?"
Bart Simpson,The last place I saw it...
Homer Simpson,Uh huh.
Bart Simpson,...was in my hand...
Homer Simpson,Yeah...
Bart Simpson,...as I was shoving it into the mailbox.
Homer Simpson,Why did you do that?
Bart Simpson,"Dad, there were things in the letter that had to be said. And I know you. You're an emotional guy. Just because you were mad last night, is no guarantee you'd be mad in the morning. So I..."
Homer Simpson,I'll show you mad in the morning.
Marge Simpson,"Homer, you encouraged him. You should be strangling yourself."
Homer Simpson,"She's right. Okay, think, Homer. Don't panic. They don't pick up the mail till noon. There's still time!"
Bart Simpson,"Give it up, Homer. It's locked up tight."
Homer Simpson,"Locked, eh? Well, I just might have a little surprise up my sleeve for old Mr. Lock. Step aside, boy."
Barney Gumble,"Hey, I'm with you, Homer. Fight the power!"
Bart Simpson,"Why the hose, Homer?"
Homer Simpson,"What does it look like? I'll get our letter so wet, the ink will run and no one will be able to read it."
Bart Simpson,"Yeah, but don't other people have mail in there?"
Homer Simpson,"So a few people won't get a few letters. Boo-hoo. You know the kinda letters people write: ""Dear Somebody-You-Never-Heard-Of... How is So-and-So? Blah blah blah blah blah blah blah. Yours truly, Some Bozo."" Big loss."
Homer Simpson,"Now Bart, you keep an eye out for the mailman. Just give me some kind of signal."
Bart Simpson,"Dad, the mailman is here."
Homer Simpson,That's a good one. We'll use that.
Bart Simpson,"No, I mean the mailman's here."
Homer Simpson,
Mail Person,Dear God! Are you planning to water the mail?
Homer Simpson,"Uh, uh I-I guess it wouldn't do any good to run, 'cause you're our mail lady and you know my name and address and everything, huh?"
Mail Person,That's right.
Homer Simpson,"Well, I'm still gonna run!"
C. Montgomery Burns,I want the whole world to hear the story of my harrowing struggle with hypohemia.
Waylon Smithers,"Well, sir, Mr. Roman is one of the finest ghostwriters in the business."
Waylon Smithers,"He's written ""Like Hell I Can't!""... ""Up From The Muck""... and ""The Unsinkable Sadruddin Mahbaradad!"""
C. Montgomery Burns,Excellent.
Roman,"All right, all right. First question? Have you slept with anyone famous?"
C. Montgomery Burns,"Well, Countess Van Zeplin and I... What in blaze... Now you listen to me, you bargain basement Baudelaire. I'm not some dizzy starlet who can't string two words together. I can write this thing myself. You're fired."
Postal Worker,"Okay, Mr. Burns. What's your first name?"
Homer Simpson,I don't know.
Homer Simpson,"Great plan, Bart."
Lisa Simpson,"Ooh, look, Maggie, what is that? Do-dec-ah-edron. Dodecahedron."
Homer Simpson,"Lisa, I don't know what you're doing, but it's very strange and your father is trying to worry."
C. Montgomery Burns,"""Chapter the Fifth... A Trip to the Infirmary, With Most Unexpected Results."""
Homer Simpson,Twenty eight minutes till Burns comes. Time for operation Mail Take.
C. Montgomery Burns,Can I help you?
Bart Simpson,"They always told me I was gonna destroy the family, but I never believed it."
C. Montgomery Burns,"Oh, don't be frightened of this. It's nothing but a letter opener. Who are you?"
Homer Simpson,Homer Simpson.
Homer Simpson,"Yeah, well I'll be on my --"
C. Montgomery Burns,"Hello, there's more. ""In case you can't tell, I'm being sarcastic..."""
C. Montgomery Burns,"""...you stink, you are a senile, buck-toothed..."" ""...old mummy... with bony girl arms and you smell like an elephant's butt!"""
Homer Simpson,"Hey, c'mon, Joey! Do you have to twist my arm?"
Joey,"Homer, I don't tell you how to do your job. Okay?"
C. Montgomery Burns,"I could crush him like an ant, but it would be too easy. No, revenge is a dish best served cold. I'll bide my time until... Oh, what the hell. I'll just crush him like an ant."
C. Montgomery Burns,"""Senile,"" eh? ""Buck-toothed,"" am I? ""Bony arms,"" are they? ""Liver spots,"" did I? ""Chinless,"" will you?"
Waylon Smithers,"His pink slip awaits your signature, sir."
C. Montgomery Burns,"Now, that's odd. I've just robbed a man of his livelihood, and yet I feel strangely empty. Tell you what, Smithers. Have him beaten to a pulp."
Waylon Smithers,"But, sir --"
C. Montgomery Burns,But what?
Waylon Smithers,"Nothing, sir."
Homer Simpson,"Oh, I've never seen Mr. Burns this mad and he's always kinda mad."
Marge Simpson,
Homer Simpson,Me and my big... letter writing pen!
Marge Simpson,"Honey, what's done is done. No matter what happens, we'll pull through. We always do."
Homer Simpson,"Okay, here's the plan. You can move in with your sisters and raise the kids. And I'll... die in a gutter. It's practical and within our means."
Homer Simpson,
Lisa Simpson,"That's okay, Bart. Nobody really believed it. We were just trying to scare you."
Waylon Smithers,You know Homer Simpson?
Joey,"Yeah, nice guy. Play poker with him once in a while."
Waylon Smithers,"Hmmm huh. We uh, need him beaten up."
Joey,You got it.
Waylon Smithers,Wait!
Joey,What is it?
Waylon Smithers,"Ah, nothing."
Waylon Smithers,Wait!
Joey,What?
Waylon Smithers,"Beat, but don't kick."
Joey,Hold the kicks. Got it.
Waylon Smithers,Wait!
Joey,What?
Waylon Smithers,"Uh, um, umm..."
Joey,"Hey, what did Homie do anyway?"
Waylon Smithers,He saved Mr. Burns' life!
C. Montgomery Burns,"In closing, gentle reader, I'd like to thank you. What's that you say? Me thanking you? No, it's not a misprint. For you see, I enjoyed writing this book as much as you enjoyed reading it. The end."
C. Montgomery Burns,"Ah Smithers, how'd the beating go?"
Waylon Smithers,"Sir, uh... there was no beating."
C. Montgomery Burns,What? Well that's a hell of a thing! Why?
Waylon Smithers,Because... I... I called it off.
C. Montgomery Burns,Judas!
Waylon Smithers,"I'm sorry, sir. But I just couldn't hurt Homer Simpson. He saved your life."
C. Montgomery Burns,I see.
Waylon Smithers,"I know you're mad at me, but I think it's only fair to warn you, I'm going to stand outside the gate until you forgive me."
C. Montgomery Burns,"No need, Smithers. As usual, you've been the sober ""ying"" to my raging ""yang."" Put 'er there, old pal."
Waylon Smithers,"Sir, while I wish this handshake would never end, I'm, I'm afraid we still have the Simpson matter to attend to."
C. Montgomery Burns,"We do indeed, old friend. We do indeed."
Moe Szyslak,Moe's Tavern. Where the elite meet to drink.
Bart Simpson,"Eh, yeah, hello, is Mike there? Last name, Rotch."
Moe Szyslak,"Hold on, I'll check. Mike Rotch. Mike Rotch. Hey, has anybody seen Mike Rotch, lately?"
Moe Szyslak,"Listen you little puke. One of these days I'm gonna catch you, and I'm gonna carve my name on your back with an ice pick."
